TUindex	TUorient	TSS_pos	TSS_strength
0	+	1001	0.2
1	+	4001	0.2
2	+	7001	0.2
3	+	10001	0.2
4	+	13001	0.2
5	+	16001	0.2
6	+	19001	0.2
7	+	22001	0.2
8	+	25061	0.2
9	+	28061	0.2
TUindex	TUorient	TSS_pos	TSS_strength
0	+	1001	0.2
1	+	4001	0.2
2	+	7001	0.2
3	+	10001	0.2
4	+	13001	0.2
5	+	16001	0.2
6	+	19001	0.2
7	+	22001	0.2
8	+	25061	0.2
9	+	28061	0.2
TUindex	TUorient	TSS_pos	TSS_strength
0	+	1001	0.2
1	+	4001	0.2
2	+	7001	0.2
3	+	10001	0.2
4	+	13001	0.2
5	+	16061	0.2
6	+	19061	0.2
7	+	22061	0.2
8	+	25061	0.2
9	+	28061	0.2
TUindex	TUorient	TSS_pos	TSS_strength
0	+	1001	0.2
1	+	4001	0.2
2	+	7001	0.2
3	+	10001	0.2
4	+	13001	0.2
5	+	16061	0.2
6	+	19061	0.2
7	+	22061	0.2
8	+	25061	0.2
9	+	28061	0.2
TUindex	TUorient	TSS_pos	TSS_strength
0	+	1001	0.2
1	+	4001	0.2
2	+	7001	0.2
3	+	10001	0.2
4	+	13001	0.2
5	+	16001	0.2
6	+	19061	0.2
7	+	22061	0.2
8	+	25061	0.2
9	+	28061	0.2
TUindex	TUorient	TSS_pos	TSS_strength
0	+	1001	0.2
1	+	4001	0.2
2	+	7001	0.2
3	+	10001	0.2
4	+	13001	0.2
5	+	16001	0.2
6	+	19001	0.2
7	+	22001	0.2
8	+	25001	0.2
9	+	28061	0.2
TUindex	TUorient	TSS_pos	TSS_strength
0	+	1001	0.2
1	+	4061	0.2
2	+	7061	0.2
3	+	10061	0.2
4	+	13061	0.2
5	+	16061	0.2
6	+	19061	0.2
7	+	22061	0.2
8	+	25061	0.2
9	+	28061	0.2
TUindex	TUorient	TSS_pos	TSS_strength
0	+	1001	0.2
1	+	4001	0.2
2	+	7001	0.2
3	+	10001	0.2
4	+	13001	0.2
5	+	16001	0.2
6	+	19001	0.2
7	+	22001	0.2
8	+	25061	0.2
9	+	28061	0.2
TUindex	TUorient	TSS_pos	TSS_strength
0	+	1001	0.2
1	+	4001	0.2
2	+	7001	0.2
3	+	10061	0.2
4	+	13061	0.2
5	+	16061	0.2
6	+	19061	0.2
7	+	22061	0.2
8	+	25061	0.2
9	+	28061	0.2
