TUindex	TUorient	TTS_pos	TTS_proba_off
0	+	2000	1.0
1	+	5000	1.0
2	+	8000	1.0
3	+	11000	1.0
4	+	14000	1.0
5	+	17000	1.0
6	+	20000	1.0
7	+	23000	1.0
8	+	26060	1.0
9	+	29060	1.0
TUindex	TUorient	TTS_pos	TTS_proba_off
0	+	2000	1.0
1	+	5000	1.0
2	+	8000	1.0
3	+	11000	1.0
4	+	14000	1.0
5	+	17060	1.0
6	+	20060	1.0
7	+	23060	1.0
8	+	26060	1.0
9	+	29060	1.0
TUindex	TUorient	TTS_pos	TTS_proba_off
0	+	2000	1.0
1	+	5000	1.0
2	+	8000	1.0
3	+	11000	1.0
4	+	14000	1.0
5	+	17000	1.0
6	+	20060	1.0
7	+	23060	1.0
8	+	26060	1.0
9	+	29060	1.0
TUindex	TUorient	TTS_pos	TTS_proba_off
0	+	2000	1.0
1	+	5000	1.0
2	+	8000	1.0
3	+	11000	1.0
4	+	14000	1.0
5	+	17000	1.0
6	+	20000	1.0
7	+	23000	1.0
8	+	26000	1.0
9	+	29060	1.0
TUindex	TUorient	TTS_pos	TTS_proba_off
0	+	2000	1.0
1	+	5060	1.0
2	+	8060	1.0
3	+	11060	1.0
4	+	14060	1.0
5	+	17060	1.0
6	+	20060	1.0
7	+	23060	1.0
8	+	26060	1.0
9	+	29060	1.0
TUindex	TUorient	TTS_pos	TTS_proba_off
0	+	2000	1.0
1	+	5000	1.0
2	+	8000	1.0
3	+	11000	1.0
4	+	14000	1.0
5	+	17000	1.0
6	+	20000	1.0
7	+	23000	1.0
8	+	26060	1.0
9	+	29060	1.0
TUindex	TUorient	TTS_pos	TTS_proba_off
0	+	2000	1.0
1	+	5000	1.0
2	+	8000	1.0
3	+	11060	1.0
4	+	14060	1.0
5	+	17060	1.0
6	+	20060	1.0
7	+	23060	1.0
8	+	26060	1.0
9	+	29060	1.0
